Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@MyLinguaEN	Dos decesos por #Covid19 registra el “Catarino Rivas” https://t.co/aOumEEDt3s	2020-08-13 14:07:04	es		0.0	0.0		My Lingua EN	"Learn English - Part of @Mylingua @MylinguaES
By @Luism"	1381.0	0.0	231.0	221.0	1.0	False		
@sandramorenohd1	@WRadioColombia #ParaLasMemoriasDeUnPesimista ahora le van a meter política a la vacuna contra el Covid19, por Dios hasta cuándo, abrazos #QuieroLibro	2020-08-13 14:07:04	es		0.0	0.0	@WRadioColombia	sandra moreno hdez	"Galletas #DulceMama 
El sabor de casa
Hechas con el amor de las manos de mama"	75.0	94.0	64.0	10.0	0.0	False		
@JorgeContrerasN	"De acuerdo al sitio oficial de la vacuna rusa Sputnik V; México y Brasil estarían participando en la Fase 3.

Estaría bien que el Srio. @m_ebrard nos lo confirmara y diera detalles.

#COVID19 #SARSCoV2 #vacunaCOVID19 

Aqui el sitio oficial 👇

https://t.co/C1SYaMEosg"	2020-08-13 14:07:00	es		0.0	0.0		iGeorge	Tech Journalist  B2B, speaker, marketing, gadgeteer & serial tweeter.	212959.0	18082.0	14076.0	46312.0	597.0	True		
@PalabrasClarasM	#VacunaDeOxford contra #Covid19 estaría disponible en #México el primer trimestre de 2021: #AMLO https://t.co/2dxySlplv5 vía @palabrasclarasmx	2020-08-13 14:06:58	es		0.0	0.0		Palabras Claras	Baluarte de Expresión Libre. No somos los mejores, somos diferentes.	22144.0	37.0	477.0	550.0	4.0	False		
@anaidacamero	La verdad, es que en este caso es muy útil, para poder en un momento dado, ver saturación  de Oxígeno en grande, más cuando un paciente con Covid19 es tratado en su casa. https://t.co/6kspSqsA0y	2020-08-13 14:06:54	es		0.0	0.0		Anaida M Camero R.	"Que pequeña es la Luz de los Faros de quien sueña con la Libertad.
(Joaquín Sabina)🇻🇪🇪🇦"	241284.0	52711.0	6075.0	6238.0	36.0	False		
@Ojo_Publico	🚨#ChequeosEnLenguas Especialistas en Genética e Inmunología explicaron que una buena alimentación puede influir en la respuesta del sistema inmunológico a la #COVID19. Pero, no puede impedir los contagios. Escucha la explicación en #quechua👉 https://t.co/kVOYNYgcPg https://t.co/rxD61dJZeq	2020-08-13 14:06:50	es		0.0	0.0		Ojo-Publico. com	Investigamos el poder. Premios globales de periodismo de datos 2015 y 2020, Derechos humanos 2015, SIP 2017 -2018, LASA 2019. Programa de entrenamiento @ojolab	50550.0	3171.0	450.0	87182.0	710.0	False		
@dr_havila	Ya hay proyecto de producción y aplicación de vacuna contra #COVID19 en México. https://t.co/tFUEa7GxKO	2020-08-13 14:06:48	es		0.0	0.0		Hugo Avila	Mexicano, de Izquierda   #RedAMLO	8373.0	1029.0	2968.0	976.0	5.0	False		
@annabosch	El entrecomillado da en el clavo, desde mi humilde y personal experiencia con #coronavirus #COVID19 https://t.co/xwrX91bwpm	2020-08-13 14:06:47	es		0.0	0.0		Anna Bosch PÓNTELA, PÓNSELA😷 Y LAVA 🤲	"Foreign Affairs Correspondent at TVE. 
En Portada. 
Roda el món: Madrid, Lyon, Москва, Washington, London...
(Foto perfil: Amaya Aznar)"	38025.0	18503.0	1459.0	46341.0	1529.0	True		
