Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@bionoticiascl	Región del #Biobío presenta 150 casos nuevos, 9.300 acumulados y 1.325 activos de #COVIDー19  https://t.co/3CLEJlDtpp a través de @Bionoticiascl https://t.co/v6PVEG1149	2020-07-18 20:22:07	es		0.0	0.0		Bionoticias.cl	La voz de la Provincia de BíoBío en la Web.  La Comunicación es lo nuestro. Encuentranos en https://t.co/gVxVKCNj5r y en  https://t.co/SzPaBN02bW	140785.0	217.0	2803.0	13430.0	62.0	False		
@ElSonCofrade	"En el concierto homenaje a la victima del Covid-19 que ha inteterpretado hoy la @Banda_Mena han sonado obras como ""El Oboe de Gabriel"" de la BSO ""La  Mision"" de Ennio Morricone recientemente fallecido #CofradiasMLG https://t.co/lMAwFV1C31"	2020-07-18 20:22:07	es		0.0	0.0		El Son Cofrade		5338.0	430.0	1362.0	1516.0	5.0	False		
@XorTunez	"Covid-19 y negligencia patronal: 
MURATA MATA
¡Justicia para Miguel Olmedo y Juan Campos!
https://t.co/jOLljxQBLN"	2020-07-18 20:22:06	es		0.0	0.0		Xorginho Tunecino ✊🏽💚	"'...y se coagula saliva en mis labios,
se hace brillante y nacarada mi voz...'"	22047.0	12732.0	618.0	507.0	5.0	False		
@AgenciaICE	"29 FALLECIMIENTOS MÁS REGISTRA SONORA Y 445 NUEVOS CASOS DE COVID-19

•Llama Clausen Iberri a los sonorenses a seguir actuando con extremos cuidados para evitar aumento de contagios

•Son ya 9,490 personas recuperadas de Covid-19 en la Entidad
https://t.co/Tgl0XjOGP6 https://t.co/C0dnzZbnop"	2020-07-18 20:22:05	es		0.0	0.0		AgenciaICE	Ya conoces la manera de trabajar de Agencia ICE, ahora estamos como página web con toda la información, siguenos 24/7/365	21642.0	29.0	48.0	1149.0	9.0	False		
@mariososa84	"🇸🇻 •  Un paciente que sale recuperado del COVID-19, del Hospital El Salvador. Agradece de rodillas a Dios por ayudarle a vencer la enfermedad.❤️🙏🏼  

cronicave en El Salvador https://t.co/KQDaUIIbaS"	2020-07-18 20:22:05	es	SV	0.0	0.0		Mario •Camatagua• Sosa	"🇻🇪 Venezolano/Caroreño🌵
💡 Publicista
📸 Corresponsal/Reportero Gráfico
📰 @laprensalara
🗞️ @elcarorenoweb
📻 @carorafm
🤝🏽 @losninosdemipueblo"	35985.0	1449.0	805.0	4576.0	34.0	False	-88.866111	13.668889
@LatinaHora	"Situaciòn #COVID-19 en Italia y el mundo 
#noticias #conciencia
https://t.co/bZTVUtIMTm
https://t.co/HTZUPPv8up
https://t.co/02uzo30hUY @horalatinatv_italia https://t.co/o9o4rfpsBJ https://t.co/652OfuelBT"	2020-07-18 20:22:04	es		1.0	0.0		Hora Latina TV		267.0	226.0	24.0	4.0	0.0	False		
@saltaalavistaok	COVID-19 en Salta: “Declarar transmisión comunitaria no es una decisión política sino epidemiológica” https://t.co/Xi6kBcW6Bu vía @Salta a la Vista #Salta #cuarentena #quedateencasa #Covid_19 #saltaalavista https://t.co/os7hlT2pBx	2020-07-18 20:22:03	es		0.0	0.0		Saltaalavistaok	Medio de comunicación	1727.0	74.0	403.0	95.0	1.0	False		
@AdriCalao	Suma Tuxpan  381 casos positivos a Covid 19 https://t.co/TzLNtvT9TU	2020-07-18 20:22:03	es		0.0	0.0		Adri Calao	"Lic. Comunicación🎙️
Egresada de la UJAT 
Reportera Meganoticias Tuxpan📺
Tabasqueña🌳"	1631.0	793.0	432.0	175.0	1.0	False		
