Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@IMRyTv_Morelos	"🔴#AlMomento | La @SSM_Morelos  informa sobre casos confirmados, sospechosos y negativos de #COVID19 en #Morelos

🔶 Hoy, miércoles 12 de agosto, se registran 4,588 confirmados acumulados, 217 confirmados activos, 672 sospechosos, 4,679 descartados y 917 decesos #NoticiasIMRyT https://t.co/SGYvP6AMGf"	2020-08-12 21:40:33	es		0.0	0.0		IMRyT Morelos	Instituto Morelense de Radio y Televisión, Medio Público https://t.co/yZORtFZUAr	75051.0	22392.0	2337.0	9339.0	116.0	False		
@WorldVisionNic	"""Esperamos llegar a las mentes y corazones de la población nicaragüense; todos somos responsables por el bienestar de la niñez"", dijo nuestro Director Nacional, Oscar Chicas, durante el lanzamiento de la campaña Niñas y niños protegidos ante el #COVID19. https://t.co/icEXoQs3Cy"	2020-08-12 21:40:24	es		0.0	0.0		World Vision Nicaragua	Para cada niña y niño, vida en toda su plenitud. Unite y descubrí cómo podés ser parte. ¡Cumplimos 30 años de trabajo en #Nicaragua!	5242.0	985.0	879.0	3781.0	25.0	False		
@maguipiantieri	Nuestro país fábrica vacunas hace rato y lo haremos con la del covid19💪🏼 https://t.co/OtWoJmwsAF	2020-08-12 21:40:18	es		0.0	0.0		Magui💚	Solo sirven las conquistas científicas sobre la salud si estas son accesibles al pueblo. Dr Ramón Carrillo✌🏼	27181.0	55589.0	783.0	1140.0	3.0	False		
@SaludSV	"Son tres cabinas las que realizaron 300 pruebas PCR a la población salvadoreña.

Como Gobierno seguimos buscando oportunamente casos positivos de #COVID19 en las distintas zonas de nuestro país. https://t.co/9B7BTLTkO8"	2020-08-12 21:40:17	es		0.0	0.0	@SaludSV	Ministerio de Salud	"Ministerio de Salud, Gobierno de El Salvador 🇸🇻

Ministro de Salud @franalabi"	39380.0	11728.0	477.0	359319.0	373.0	True		
@SaludSV	"¡Seguimos con la búsqueda de casos de #COVID19 en todo el país!

Este día nos trasladamos con las cabinas móviles al municipio de Ilobasco, para continuar con las estrategias de contención de la enfermedad. https://t.co/rpysJuiSdO"	2020-08-12 21:40:16	es		2.0	0.0		Ministerio de Salud	"Ministerio de Salud, Gobierno de El Salvador 🇸🇻

Ministro de Salud @franalabi"	39380.0	11728.0	477.0	359319.0	373.0	True		
@NoticieroAnimal	Dejaremos esto aquí. #COVID19 #AfpModeloQuieroMi10 #AFPProvida #afphabitat https://t.co/0wB24GYevC	2020-08-12 21:40:13	es		0.0	0.0		NOTICIERO ANIMAL ® 🐾	International Animal Rescue Network and help.   Red Internacional de Rescate y ayuda animal - Creado el 11 Diciembre 2007 #HoraDelPlaneta	215199.0	38939.0	1069.0	59981.0	431.0	False		
@CityofSanJose	¿Trabaja en contacto directo con el público? Aunque no tenga ningún síntoma, El Condado le recomienda hacerse la prueba del COVID-19 al menos una vez al mes. Para encontrar sitios que ofrecen la prueba y hacer una cita visite, https://t.co/o7tyANUf1V https://t.co/QfaADJSPH1	2020-08-12 21:40:06	es		0.0	0.0		City of San José	Official site for the City of San Jose, CA -- America's 10th largest city. Tweeting news, information, and events to connect community with local government.	5898.0	1186.0	227.0	22721.0	364.0	True		
@ElUniversal	'El Covid-19 nuestro de cada día', por Daniel Asuaje #Opinión https://t.co/0rCpo2SXPq	2020-08-12 21:40:04	es		0.0	0.0		El Universal	Solo noticias confirmadas. Los principales titulares de lo que ocurre en este momento en Venezuela y el mundo	1488158.0	11.0	60831.0	5056878.0	19674.0	True		
