Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@AViverosNoticia	"AMLO DECRETA DUELO NACIONAL DE 30 DÍAS POR MUERTES DE COVID-19 EN MÉXICO

#AMLO

https://t.co/VN4NdjAJbP https://t.co/wurOgzuEoG"	2020-08-15 20:00:12	es		0.0	0.0		Alberto Viveros Noticias	Síguenos en todas las redes como Alberto Viveros Noticias. Tune IN radio: https://t.co/zcMPlekYuB. Lunes a Viernes 8:00 AM vía Facebook.	35622.0	110.0	385.0	1264.0	7.0	False		
@YUCATANALMINUTO	Decretan duelo nacional de 30 días por muertes por Covid-19 https://t.co/uRdj0hm1Ur https://t.co/ukulYBHrAm	2020-08-15 20:00:11	es		0.0	0.0		YUCATAN AL MINUTO	Un sitio de noticias con información #AlMinuto de Yucatán. Web: https://t.co/FFcMCd0nbq C. 43 395-A con 32, Pedregales de Tanlum, Mérida.	331069.0	4691.0	47329.0	168019.0	397.0	False		
@lariojacom	El COVID-19 ya mantiene confinados a mil riojanos https://t.co/IGTcBsZWzS	2020-08-15 20:00:11	es		0.0	0.0		lariojacom	Twitter de Diario LA RIOJA. Te contamos todo lo que ocurre en La Rioja, hablamos contigo y te escuchamos a través de nuestra cuenta.	86536.0	2945.0	539.0	43924.0	469.0	True		
@eldolardiario	¡VÍCTIMA DEL CORONAVIRUS! Darío Vivas: el dirigente oficialista que falleció por covid-19 https://t.co/pO34wP8q2C	2020-08-15 20:00:09	es		0.0	0.0		El Dólar Diario 🇻🇪	Noticias e Información de Venezuela | Jueves Ago 13, 2020 el $ cotiza a Bs. 298.594,57 y el € a Bs. 353.279,18	176869.0	78.0	363108.0	1096317.0	3508.0	False		
@BravissimoCity	Empezaremos la mañana con la compañía del infectólogo y epidemólogo Carlos Álvarez quien nos dará estadísticas de las vacunas que están en proceso contra el COVID-19 https://t.co/CpPBXL5QXC	2020-08-15 20:00:08	es		0.0	0.0		Bravíssimo	Bravíssimo es un programa de entretenimiento y variedades. Conéctate los Fines de semana de 7:30 am - 12:00pm por el canal Citytv.	79604.0	12018.0	924.0	214576.0	260.0	False		
@unomasunomx	Calculan que México necesitará de 200 millones de dosis de la vacuna contra COVID-19 via @unomasunomx https://t.co/eKzaSqdE3l https://t.co/jLNDuGgPVq	2020-08-15 20:00:08	es		0.0	0.0		unomásuno	Grupo UNOMÁSUNO, Periodismo crítico y veraz. Prensa, Radio y Televisión. 44 años informando a México hasta las últimas consecuencias...	466846.0	1363.0	3316.0	16160.0	458.0	False		
@TODOSOBREMOVIL	"👉 👉 👉 https://t.co/aBxFyaXtaT

DISFRUTA DE LA NATURALEZA
Moma Bikes Bicicleta Montaña FAT 26""  

#megaofertas #todosobremovil #FelizFinde #Verano2020 #Fitness #FitnessMotivation #ULTIMAHORA #RadarCOVID #mascarilla #COVID__19 #coronavirus #CoronavirusARV https://t.co/UbFbXTJi2K"	2020-08-15 20:00:08	es		0.0	0.0		TODO SOBRE MOVIL	"Análisis y #ofertas de todo lo que puedas conectar a un móvil. 
👁️Buscamos las mejores ofertas y las publicamos 
¿Te lo vas a perder? 👉 Visitanos 🙏 😉"	75535.0	29.0	317.0	15984.0	269.0	False		
@RICO_RedDeInf	@SEDENAmx, por contingencia del COVID-19 personal militar concentró material e insumos médicos al almacén DISUR de San Pablo Etla, Oax. https://t.co/uTUNANHIPo	2020-08-15 20:00:07	es		0.0	0.0	@SEDENAmx	RICO Red de Información Ciudadana En Oaxaca		661.0	517.0	61.0	76.0	0.0	False		
