Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@demoeduSXXI	"Por qué no se hace? Cuál es la evidencia científica que el COVID19 es más catastrófico que otras enfermedades y determinar un aislamiento tan ""estricto"" y con ""control social absoluto""..?..! https://t.co/hoVyoI5ULm"	2020-08-09 19:33:15	es		0.0	0.0		Demócrata	Mi reto es la vida.	21214.0	7999.0	295.0	148.0	1.0	False		
@victormtzlucio	"Nuevo León y la otra crisis del #Covid19: Grandes pérdidas económicas para las familias de nuestro estado. 

Hoy nos acompaña el Secretario de Economía, @RussildiRoberto. #NuevosCambios 8:00 PM @multimediostv @telediariomty https://t.co/78h0TVWUV2"	2020-08-09 19:33:10	es		0.0	0.0		Víctor Martínez	Comunicador dedicado a la información. Director de Noticieros en @telediariomty @multimediostv	13508.0	5553.0	1418.0	18431.0	67.0	True		
@armando_hn	Si aun en este tiempo tienes a un conocido o quiza poco probable a un familiar con #COVID19 que a estado grabe o lamentablemente a fallecido, preparate porque al terminar la fase 1 que la @SalaCnalSV a considerado inconstitucional y a dejado a un lado una apertura controlada	2020-08-09 19:33:05	es		0.0	0.0		Armando	"Consultor de Negocios. 💹

Salvadoreño 🇸🇻

Pro-Ecologista 🌱  Defensor del Pensamiento lógico"	2116.0	1094.0	98.0	158.0	0.0	False		
@pharma_jonpi	Clinical Efficacy of #Antivirals Against Novel #Coronavirus. FDA Aprobó #Remdesivir en base a un ensayo que aportaba una reducción en el Tiempo de Recuperaron del Paciente en Comparación con Placebo. Pero en Supervivencia NO Hubo Grupo Comparativo.https://t.co/kTM9LuUVwJ #COVID19 https://t.co/dQcyx63iy2	2020-08-09 19:33:04	es		0.0	0.0		Pharma Jonpi .	ZepZelCa Un Mes Ya A La Venta En EEUU Por lo Que los Royalties del + - 30% Ya Van Entrando en Caja.	7745.0	554.0	85.0	1185.0	16.0	False		
@IAIM_VE	"#IAIM_Recomienda || En el IAIM, les recomendamos el uso permanente del tapabocas para evitar la propagación del Covid19.
¡La prevención es tarea de todos!
@NicolasMaduro https://t.co/FAe5TdvN5Y"	2020-08-09 19:33:00	es		0.0	0.0		Aeropuerto Internacional de Maiquetía	Cuenta Oficial del Instituto Aeropuerto Internacional de Maiquetía (IAIM), adscrito al  Ministerio del Poder Popular para el Transporte (MPPT).	165418.0	25979.0	269.0	208893.0	615.0	False		
@albertolasso	"Lo tengo clarisimo, tras anunciar esta tarde el @Atleti dos positivos por #COVID19 entre los miembros de la expedicion a #Lisboa para la @ChampionsLeague somos favoritos para ganarla, nosotros es que somos ""muy así"" lo facil, lo ""normal"" no es para nosotros."	2020-08-09 19:32:59	es		0.0	0.0		J.Alberto Lasso	"De pueblo y orgulloso de ello, seguidor del @atleti 
Loco por el B A LO N C E S TO. Tio de dos sobrinos maravillosos. Aqui se viene llorado de casita 😉"	23637.0	19962.0	361.0	568.0	9.0	False		
@d_RG_Ana	"""Lograr 100 días sin contagios en la población es un paso importante. Sin embargo, como todos sabemos, no podemos permitirnos la más mínima negligencia""
Ashley Bloomfield, director de Salud  https://t.co/EngwdLBgME Nueva Zelanda 100 días sin nuevos casos de #COVID19"	2020-08-09 19:32:59	es		0.0	1.0		Ana 💜💚	"Ciencia y educación superior | #SoyUAM 
tengo un huerto en casa | amante del chocolate | #HumedalXochimilco"	15865.0	22279.0	599.0	1058.0	8.0	False		
@justicia_somos	"@AlexandraFMLN Hoy en la cadena... Cortina de humo por la crisis del agua en todo el departamento de San Salvador y La Libertad??
#COVID19 en Soyapango se está extrapolando por la falta de agua.
@ANDASV"	2020-08-09 19:32:58	es		0.0	0.0	@AlexandraFMLN	SomosJusticia	Somos una cuenta vigilante de la verdadera justicia en El Salvador. (Navarro-Castillo)	1251.0	1131.0	215.0	149.0	0.0	False		
