Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@adriana_camposh	"No necesitas más razones, tú salud y la de tu familia son prioridad. 

Únete al reto #YoUsoCubrebocas y ayúdanos a bajar los contagios por #COVID19. #UnidosHacemosElCambio 💜 https://t.co/M626qO8K5u"	2020-08-04 17:53:40	es		0.0	0.0		Adriana Campos	Alcaldesa del municipio de Jacona, Michoacán. | Madre y esposa, orgullosa de su familia. | Mujer comprometida con lograr un cambio❤	3511.0	900.0	1385.0	1822.0	7.0	False		
@culturasv	"""En este período de vacaciones agostinas, reiteramos que todos nuestros espacios culturales continuarán cerrados al público.
Como Gobierno pedimos a todos los salvadoreños que se queden en casa y guarden las medidas de seguridad para evitar el contagio del #COVID19"", @suecallejas"	2020-08-04 17:53:40	es		0.0	0.0	@culturasv	Ministerio de Cultura	Sitio oficial del Ministerio de Cultura de El Salvador	153984.0	9405.0	734.0	99945.0	293.0	False		
@bancaynegocios	“Si uno no sale todos los días, no come”: Miles se exponen al #Covid19 en gran mercado de Caracas https://t.co/Vzq0PuYp4X.	2020-08-04 17:53:37	es		0.0	0.0		Banca y Negocios	Portal de noticias sobre banca, economía, negocios, gerencia, tecnología y más, en Venezuela, Latinoamérica y el mundo	562785.0	321.0	2556.0	71059.0	911.0	False		
@gladiador_vii	@MaxMojica @SpotlightSV a las alcaldias les han en tregado 650 millones  emergencia covid19 y 350 millones total 1000 MILLONES de anticipo a fodes, y no regalar una mascarilla al pueblo, que desgracias de alcaldes.	2020-08-04 17:53:37	es		0.0	0.0	@MaxMojica	ALONSO GONZALEZ		411.0	674.0	254.0	86.0	0.0	False		
@Inteligenciasmx	The latest Los Espacios Públicos Virtuales! https://t.co/srIhtRkxw2 Thanks to @sananomad @Charity_Store #digital #covid19	2020-08-04 17:53:36	es		0.0	0.0		Inteligencias	Información para la Decisión, Decisión para el Cambio	19979.0	41.0	1363.0	645.0	114.0	False		
@JulsTR76	"Planes para la semana:

Terminar de ver #AnneWithAnE  empezar #TheUmbrellaAcademy 

Dejar pasar 15-20 días para ver si tengo síntomas de #COVID19 

Y ya después veremos qué procede."	2020-08-04 17:53:36	es		0.0	0.0		Juls	Mamá de Grillo, former alien, cinéfila y lectora de todo lo que cae en mis manos.	6542.0	7995.0	773.0	487.0	3.0	False		
@MaoKintanaCine	"Una instantánea de la época en la que @RobertDowneyJr y @JaredLeto fueron novios. 
¿Recuerdas el Nombre de la Película?

#reto #coronavirus #COVID19 #Guatemala #Libano #Dynamite #sii_chile #Agosto https://t.co/vwSTffx1Lb"	2020-08-04 17:53:23	es		0.0	0.0		CINE Y TV PARA TODOS 🗯️ NOTICIAS - ESTRENOS	👉INFORMACIÓN DE CINE Y TELEVISIÓN👈 | Unfollow(🚫) | #ClanDelFollow #cine #television #peliculas #series #actores #actrices #avances #bts #noticias 🗯️	2445.0	8797.0	4467.0	13517.0	24.0	False		
@Esposible9	"@FrenteAmplioPe Olvidamos cuál es el verdadero enemigo en la lucha contra la corrupción. El COVID19 es pico en todo el mundo.Y Vizcarra ¿es responsable q aumente en todo el mundo?
Se enfrentan Uds. a la ciudadanía q enfrenta a las organizaciones criminales 
Uds Viven  una burbuja"	2020-08-04 17:53:21	es		0.0	0.0	@FrenteAmplioPe	Samuel		46345.0	8969.0	743.0	146.0	0.0	False		
