Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@EstrellaOnline	"El presidente la empresa estatal China National Biotec Group, parte de la farmacéutica Sinopharm, Liu Jingzhen, aseguró que la vacuna contra el coronavirus en la que trabaja el grupo estará lista ""probablemente en diciembre"" a un precio menor de $144.  https://t.co/1aljG210S9 https://t.co/VyQxFUf5Ye"	2020-08-18 13:02:02	es		0.0	0.0		La Estrella | Panamá	Bienvenidos a la cuenta del periódico más antiguo de América Central. Encuéntranos https://t.co/BfGqQU492Y…  https://t.co/UF64fIaLCf	325472.0	827.0	422.0	253924.0	1066.0	True		
@CaraotaDigital	CONOZCA -  #Venezuela está lista para participar en los ensayos clínicos de la vacuna rusa contra la COVID-19 😷(+detalles)  📌 https://t.co/EZGs2x0435	2020-08-18 13:02:01	es		0.0	0.0		CaraotaDigital	¡Directo al grano! 🌱Somos entretenimiento, información y opinión responsable, que da la cara. Instagram: @caraotadigital Telegram: https://t.co/MkXujF1GdN	5988571.0	16148.0	326.0	1688879.0	3257.0	True		
@UrbanFp	📌 El Ministerio de Salud confirmó 63 nuevas muertes por Covid-19.	2020-08-18 13:02:01	es		0.0	0.0		FP.Urban (Desde 🏠)	Mezclando el periodismo con la fotografía 🎙️📸 / Por: Micaela Cendra - Cristhian Rodriguez - Iara Flores	983.0	10.0	69.0	39.0	0.0	False		
@RadioMayabeque	Brigada médica de Cuba parte a Esuatini a enfrentar la Covid-19 - https://t.co/y41AvyaO1H  #Mayabeque #RadioMayabeque50 #SomosCuba #CubaRadio98	2020-08-18 13:02:01	es		1.0	0.0		Radio Mayabeque	Radio Mayabeque Digital. La voz del Mayabeque en Internet. Sitio dedicado a divulgar el acontecer noticioso en la provincia.	40622.0	11269.0	210.0	1361.0	28.0	False		
@CucutaDenuncia	En cuarentena el Instituto Departamental de Salud por positivo covid-19 en 5 funcionarios | CúcutaDenuncia https://t.co/ykHsRrzJdI	2020-08-18 13:02:00	es		0.0	0.0		Cúcuta Denuncia	Medio de comunicación alternativo, cuenta de participación ciudadana,  denuncia corrupción, defendemos democracia, Libertad y queremos un país mas justo.	76590.0	7909.0	7235.0	31066.0	83.0	False		
@Aduana_PtoSucre	"Medidas preventivas para disminuir el riesgo de contraer el virus #COVID-19, Juntos sumamos conciencias. #QuedateEnCasa 
@miguel_APPSU 
@SENIAT_Oficial https://t.co/Q7L3Y3ZdfN"	2020-08-18 13:02:00	es		0.0	0.0		Aduana Puerto Sucre	Cuenta Oficial de la Aduana Principal de Puerto Sucre	60323.0	9627.0	207.0	2532.0	6.0	False		
@Ethic_	Debemos observar las disfuncionalidades encubiertas en supuestos de vieja normalidad: más que provocarlas, la COVID-19 acentúa las desigualdades en cuanto a oportunidades de vivir y sobrevivir. https://t.co/hvzLe0neCC	2020-08-18 13:02:00	es		0.0	0.0		Ethic	Transición ecológica, salud, igualdad, educación, diversidad, derechos humanos… Trabajamos por los desafíos de la Agenda 21. Acompáñanos.	71504.0	13894.0	2101.0	49952.0	920.0	True		
@caminodelaplata	"¿Conoces las recomendaciones ante la Covid-19 del @mixacobeo2021 y @culturagobpara hacer el Camino de forma segura? Link al post con toda la información junto a la infografía descargable: https://t.co/ey1IufzRK1

#elcaminodelaplata #uncaminoparadetenerse   #caminodesantiago https://t.co/JSW12OqP07"	2020-08-18 13:01:59	es		0.0	0.0		El Camino de la Plata	"Cuenta Oficial del Camino de Santiago por la Vía de la Plata👣
#uncaminoparadetenerse
Andalucía➪Extremadura➪CastillaYLeón➪Galicia"	25.0	10.0	102.0	34.0	0.0	False		
