Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@AdrianArmandoNM	Borges denuncia que en Venezuela los resultados de PCR para COVID-19 se conocen con 20 días de retraso	2020-08-16 17:32:45	es		0.0	0.0		Adrián Armando Nuñez Moncada	Periodista politico. https://t.co/Fnf1TOaqht… #SoyVenezolano	4176.0	8950.0	5000.0	1070.0	0.0	False		
@TN21sv	La empresa alemana de biotecnología CureVac no descarta un rápido proceso de aprobación de su posible vacuna contra la COVID-19, según se recogen en las citas de su director ejecutivo publicadas el sábado. https://t.co/0j0smUUT7h	2020-08-16 17:32:38	es		0.0	0.0		Telenoticias21 GMV	Un noticiero salvadoreño que trabaja día a día por brindar las noticias como son.	115811.0	375.0	452.0	431257.0	533.0	True		
@Telemedellin	"#NoticiasTM La oxigenoterapia ha generado buenos resultados en la salud en pacientes afectados con Covid– 19. Por eso las autoridades de salud implementan iniciativas para ampliar esta estrategia.

https://t.co/9F5XIKrroZ"	2020-08-16 17:32:34	es		0.0	0.0		Telemedellín	Canal de televisión local de Medellín.	418073.0	44919.0	11269.0	792968.0	1293.0	True		
@Alberto30497246	@Saenzn_e @opsoms @UNICEFNicaragua @opsomsnic @GritoNicaragua A ver pues sabio, sabelotodo, el gobierno hace mal todo con el Covid 19, vos que ya te ves como ministro de economía y que todo sabes que harías entonces vos contra el Covid 19 ahorita... Pero responde y convencenos porque de tapudos estamos aburridos.... A ver danos la solución	2020-08-16 17:32:32	es		0.0	0.0	@Saenzn_e	Alberto. Somos excluidos por decreto Neoliberal...	Somos excluidos por decreto Neoliberal.... Somo rebeldes por decreto de la dignidad humana	4530.0	2401.0	1334.0	662.0	0.0	False		
@CircuitoGL	#Venezuela 🇻🇪 Hospitales del centro y occidente de Venezuela no cuentan ni siquiera con el servicio de Rayos X, vital para el diagnóstico y seguimiento de pacientes con COVID-19 #ElPitazo https://t.co/5gfcaImPLF	2020-08-16 17:32:30	es		0.0	0.0		CIRCUITO GLOBAL	Contenido Multimedios | Periodismo | Construimos Audiencia | Te contamos lo que sabemos | Denuncias | Opinión | Concursos| Únete a nuestro circuito| Bienvenidos	26586.0	262.0	318.0	6121.0	28.0	False		
@Benynv	Hemos domado tantas veces la pandemia del covid 19, que ya vamos a domar,también, la del covid 29.	2020-08-16 17:32:29	es		0.0	0.0		Benigno Negrete V.	Economista y aspirante a politólogo.	562.0	2262.0	41.0	23.0	0.0	False		
@afpquito	🇪🇨 #Ecuador, uno de los países #latinoamericanos más golpeados por la #pandemia del nuevo #coronavirus con más de 100.000 casos registrados, advirtió el domingo su interés de fabricar la #vacuna contra la #covid-19. #AFP @afpquito @AFPespanol https://t.co/IU1e2EipSX	2020-08-16 17:32:28	es		0.0	0.0		AFP Ecuador	La actualidad de Ecuador a través de la cuenta oficial de la oficina de la Agence France-Presse en el país, con el aporte de periodistas de #AFP en el mundo.	8858.0	166.0	630.0	2262.0	55.0	False		
@ElHeraldoSLP	"#Mundo 👩Muere hermana de Evo Morales debido a complicaciones por Covid-19

➡https://t.co/g5X3clJznL https://t.co/lJGiZNldsn"	2020-08-16 17:32:27	es		0.0	0.0		El Heraldo SLP	El primer periódico de San Luis Potosí desde 1942	305263.0	203.0	80.0	15871.0	154.0	False		
