Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@PinarCine	"Humor cruel pero reflexivo‼‼‼ 
Evitemos conductas peligrosas que pueden ocasionar un retorno o demorar el logro de nuestros objetivos. A la #Covid19 ni un tantico así 👌.
#CubaPorLaSalud https://t.co/MXBVWD7XEu"	2020-08-18 14:09:21	es		0.0	0.0		Cine Pinar	Centro Provincial de Cine de Pinar del Rio	181.0	674.0	292.0	66.0	0.0	False		
@vcalvot	Interesante informe de exceso de mortalidad en Colombia con corte al 2 de agosto, quien hace una tabla resumen y dice cuantos fallecidos hay en total por Covid19 hasta esa fecha. (Reportados oficialmente en los informes diarios había: 10.650 en total) https://t.co/7QtcIzgMYs	2020-08-18 14:09:21	es		0.0	0.0		Vicente Calvo	“El verdadero ingenio está en la capacidad para la evaluación de la información incierta, peligrosa y conflictiva.” – Winston Churchill	6165.0	1808.0	1159.0	433.0	3.0	False		
@TravieAndaluz	"Uno de los asistentes a la manifa antimascarillas de Colón ingresa con una neumonía por #Covid19 https://t.co/sQRu48V3XN
No me alegro
Aunque sí deberían pasar confinados en sus casas la cuarentena sin atención médica física en los casos leves
A los graves... El vídeo de la manifa"	2020-08-18 14:09:13	es		0.0	0.0		Traviesillo 💚⚪💚	"Travieso y comprometido ~
Colaboro activamente con @MiercolesRepubl 🔴⚠️☮️"	19998.0	15020.0	2089.0	1906.0	0.0	False		
@SvQuepasa	Lo positivo de la fuente de @SaludSV, es que 202 personas se recuperaron de #COVID19, por lo que la lista de personas que le ganaron la batalla a la enfermedad se elevó a 11,179. https://t.co/d3kVHWCqvc	2020-08-18 14:09:10	es		0.0	0.0		Qué Pasa	La cara positiva de El Salvador	3615.0	31.0	149.0	6315.0	0.0	False		
@Piqueitos1	@ExpresoPeru Que se preocupe en covid19.	2020-08-18 14:09:07	es		0.0	0.0	@ExpresoPeru	Piqueitos	De la patada	1054.0	138.0	64.0	5.0	0.0	False		
@victorcabreramx	El problema es que ni @Dolores_PL ni @HLGatell tienen ya la autoridad moral o credibilidad para hablar de los números de #Covid19 en México ¡ah! Y @lopezobrador_ tampoco 🤷🏻‍♂️👇🏻 https://t.co/qdJgt6lzLS	2020-08-18 14:09:07	es		0.0	0.0		Victor Cabrera	Comunicólogo👁‍🗨Comunicador 📣Director VCN Tu Canal📡 Escritor a ratos🖋y Poeta de tiempo completo.	127277.0	23339.0	8808.0	13712.0	91.0	False		
@PeriodicoCR	"#CiudadReal Valdepeñas celebrará este año unas Fiestas del Vino ""atípicas"" marcadas por la ausencia de grandes conciertos #Covid19 #Coronavirus https://t.co/fmjQzAExrM"	2020-08-18 14:09:02	es		0.0	0.0		Noticias Ciudad Real	📌🙅 Al servicio de Ciudad Real y sus gentes. 📢 Calidad, rigor, objetividad y  exclusividad. 🌐 Grupo de Comunicación ▶️ @La_Cerca Noticias Castilla-La Mancha.	22316.0	761.0	151.0	773.0	11.0	False		
@ddeser_	"#LíneaTelefónicaGratuita para la salud mental del #PersonalDeSalud que atiende a la población durante la pandemia de #COVID19. Agradecemos su trabajo y les invitamos a llamar al 722 690 3133 

¡Estamos con ustedes! #PersonalMédico #Enfermería #TrabajoSocial
@SSaludCdMx https://t.co/JhXgXBhtio"	2020-08-18 14:09:00	es		0.0	0.0		ddeser	Red por los derechos sexuales y reproductivos en México: 30 ciudadanas líderes en 12 estados, 300 jóvenes. Te acompañamos en el acceso al aborto legal y seguro	9713.0	222.0	518.0	5851.0	65.0	False		
