Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@DarioPerrone3	"ENCUESTA
si hay tres vacunas contra el covid 19 cual elegís?? ???
una cubana 
una de EEUU
una alemana
escucho"	2020-08-11 13:39:22	es		0.0	0.0		Dario Perrone	devorador de medialunas de SAO MAR DEL PLATA	6929.0	4882.0	243.0	146.0	1.0	False		
@CNqueretaro	"#ÚltimaHora 😷| Rusia se convierte en el primer país en registrar una vacuna contra el COVID-19 🦠

• ""Permite una inmunidad duradera"" 👇🏽 https://t.co/IRcBVYs1DD"	2020-08-11 13:39:22	es		0.0	0.0		Círculo Noticias Querétaro	Mantente informado de las noticias destacadas de Querétaro, México y el mundo.	47583.0	3483.0	4770.0	8903.0	74.0	False		
@Consalud_es	#Andalucía | @saludand registra 121 #pacientes confirmados con Covid-19 ingresados de los que 24 se encuentran en UCI https://t.co/Yea1y82eJq	2020-08-11 13:39:21	es		0.0	0.0		ConSalud.es	Diario online líder en el sector salud en España. Toda la #ActualidadSanitaria. Porque salud necesitamos todos... Síguenos en Facebook: https://t.co/87QCyY22OQ	232930.0	73583.0	91165.0	123609.0	1828.0	True		
@rtillynoticias	Confirman un fallecido con COVID-19 en el Hospital Regional https://t.co/z6zif0Tu7t	2020-08-11 13:39:18	es		0.0	0.0		RTN | Rada Tilly Noticias	De Rada Tilly para toda la Patagonia	19589.0	12788.0	1886.0	6269.0	33.0	False		
@elestimulo	El presidente de Rusia, Vladímir Putin, anunció que su país es el primero en el mundo en registrar una vacuna contra la COVID-19. Además, dijo que la vacuna ya fue inoculada en su hija https://t.co/dEgVlZOUcg	2020-08-11 13:39:17	es		0.0	0.0		El Estímulo	"Las mejores historias desde Venezuela, ángulos críticos y contenidos originales

¡Síguenos en Instagram! https://t.co/V6er76GutT"	508350.0	811.0	3489.0	258271.0	1391.0	True		
@ElMolinoOnline	#SputnikV es el nombre de la vacuna contra Covid-19 anunciada por Putin. Su hija se ha inoculado. Es segura, aunque occidente sigue escéptico.  https://t.co/gaGDhMRHuZ	2020-08-11 13:39:14	es		0.0	0.0		ElMolino	Cubrimos un poco de todo, en varios idiomas para traer en español breves resúmenes sobre toda una diversidad de temas como política, economía, cultura, y más	40306.0	2696.0	1900.0	1765.0	43.0	False		
@ContenidosN	COVID-19: Salud pública detalló el parte epidemiológico provincial https://t.co/I5iObRramZ	2020-08-11 13:39:14	es		0.0	0.0		+Contenidos.Net	"Agencia de Noticias Locales, Nacionales e Internacionales 
cobertura de Espectáculos, y eventos Políticos"	4892.0	878.0	379.0	115.0	0.0	False		
@DiarioLibreNica	"""Sé que es bastante eficaz,que otorga una Inmunidad duradera"", declaró Vladimir Putin. https://t.co/q81wvGxapc"	2020-08-11 13:39:10	es		0.0	0.0		Diario Libre	Un grupo de periodistas hemos juntado voluntades y nos presentamos como un nuevo espacio informativo.	760.0	12.0	85.0	286.0	1.0	False		
@MilenicoTM	"💉 RUSIA YA TIENE VACUNA CONTRA EL COVID-19 Y LA HIJA DE PUTIN FUE UNA DE LAS INOCULADAS

#Rusia #Vacuna #COVID19 #Hija #Presidente #Pandemia

https://t.co/9Xseo7W6u5"	2020-08-11 13:39:08	es		0.0	0.0		Milénico	Somos el primer multimedio web-first de Misiones diseñado por y para millennials.	5850.0	2144.0	236.0	1176.0	4.0	False		
@Yves02547487	Veis chicos, el covid-19 es malo. Deja muchas secuelas y te quedas tontito https://t.co/j0hq34EHB2	2020-08-11 13:39:07	es		0.0	0.0		Yves9	DEPORTIVISTA	20443.0	123147.0	553.0	345.0	0.0	False		
