Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@PianoNocturno	Gracias al científico #JorgeCuyubamba, nació la idea de crear una vacuna contra el Covid-19 en una canción. La afinación de la composición está ajustada para q al oírla se generen los anticuerpos para inmunizar a toda la humanidad por radio, en tan solo una semana. #Perú https://t.co/r3g7eJPoTd	2020-07-19 14:33:08	es		0.0	0.0		Erus Símera	Cantautor, deutorofóbico y pibonéxico. Puedo equivocarme varias veces al día y por eso, hago canciones. #YoMeQuedoEnCasa	26243.0	28054.0	913.0	2373.0	7.0	False		
@TraficologoO	"#Repost @ALERTA911PANAMA
• • • • • •
PROYSEG te invita a revisar y participar en los cursos disponibles para la semana del 20/07 al 25/07.

No te los pierdas!!

#proyseg #educacion #bioseguridad #covid_19 #salud… https://t.co/yF8UcF7vre"	2020-07-19 14:33:08	es		0.0	0.0		Traficologo Oeste	Cuenta al servicio de Panamá Oeste y de todos los conductores  que transiten por la provincia más joven de la República de Panamá.	183454.0	20475.0	3384.0	34845.0	108.0	False		
@_JotaT	Mirando gráficas de #Covid_19 en #Colombia, sobre #casosactivos y #casosfallecidos los últimos 30 días, aunque estos vienen creciendo día a día, al parecer no de forma exponencial. https://t.co/iKoLSg5Vhk	2020-07-19 14:33:02	es		0.0	0.0		Juan Posada	Hace años tomé la decisión de no ver más noticieros. Algo así hice en Twitter y limpié mi TL de política. De verdad hace diferencia.	23117.0	4953.0	760.0	272.0	9.0	False		
@CaraotaDigital	"🔴¡ATENCIÓN! Darío Vivas confirmó que contrajo 🦠😷#COVID-19  👇 (+Detalles)⬇️
https://t.co/spZ6EtEwhv"	2020-07-19 14:33:01	es		0.0	0.0		CaraotaDigital	¡Directo al grano! 🌱Somos entretenimiento, información y opinión responsable, que da la cara. Instagram: @caraotadigital Telegram: https://t.co/MkXujF1GdN	5951024.0	16140.0	330.0	1671025.0	3254.0	True		
@LMonchiero	Este viernes 24 de Julio, teniendo en cuenta todo este crecimiento digital que impulsan estos tiempos y más aún lo provoca el COVID-19, requiere de “custodiarnos” digitalmente, llevaremos… https://t.co/hOiLTYwAqx	2020-07-19 14:33:01	es		0.0	0.0		th3 3qu@liz3r	"MSc in C. Forensics & Cybercrime Investigation at UCD/
Director of Posgrade -Specialization- in Cybercrime at University UES21
CEO @ISLC_Security"	4005.0	2115.0	957.0	607.0	33.0	False		
@maboideas	"Seguimos festejando a los cumpleañeros desde casa 🥳🏠
.
.
.
#happybirthday #quarantine #2020 #birthdayboy #cumpleaños #covid_19 #cuarentenacreativa #mequedoencasa #diseñoplayeras #crea #playeraspersonalizadas… https://t.co/TRwDG0CUMP"	2020-07-19 14:33:00	es		0.0	0.0		MABO ideas	Ideas en vinil, playeras personalizadas, decoración del hogar y arte. ¿Tienes una idea? ¡Escríbenos y manos a la obra!	315.0	9.0	34.0	34.0	0.0	False		
@SputnikMundo	"La pandemia podría tener un impacto sumamente negativo en la salud de las personas, y el sobrepeso es uno de los puntos principales. Aquí te explicamos el motivo.

👇 https://t.co/tX3dbOwQrF"	2020-07-19 14:33:00	es		0.0	0.0		Sputnik Mundo	Twitter oficial de la web de noticias rusa Sputnik Mundo y de Radio Sputnik. Síguenos también en @Sputnik_Report | https://t.co/YLEXwdL9rG	264516.0	307.0	349.0	139437.0	1690.0	True		
@RunRunesWeb	Víctor Clark ordenó activar un cerco epidemiológico en el municipio Silva (Boca de Aroa- Tucacas), después de registrarse un caso positivo de COVID-19 en la población de Yaracal, municipio Cacique Manaure, proveniente de Carabobo https://t.co/gt7nOjRl1Z https://t.co/udX4ETwLYP	2020-07-19 14:33:00	es		0.0	0.0		Runrunes	Nos apasiona llegar al fondo de las historias de corrupción y en defensa de los Derechos Humanos para contarlas con personalidad. https://t.co/VB8adH0MRf	602264.0	1689.0	24564.0	2281526.0	6085.0	True		
