Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@LorenzLamas	@pviloutaoficial Sabemos q gusta mas la japi q el COVID-19 igual.	2020-08-06 00:49:51	es		0.0	0.0	@pviloutaoficial	Lorensho Lamas	🐍 Liberal Manchesteriano	15027.0	16493.0	809.0	225.0	0.0	False		
@Francis970AM	Además del Covid-19, caos político en Perú https://t.co/52r2GwkIXZ	2020-08-06 00:49:49	es		0.0	0.0		FRANCISCA PEREIRA	Periodista de Universo 970AM. Lic. en Periodismo (UNA). Abogad (UNA). Egresada del CHDS (EEUU). Ex becaria d Ciespal (Ecuador). Alerta a los actores políticos	28358.0	4903.0	88.0	13426.0	27.0	False		
@canal_44	Aumenta a 49 mil 698 las defunciones por Covid-19 en México https://t.co/dgwosXTh4Z	2020-08-06 00:49:48	es		0.0	0.0		canal44		406171.0	208.0	10.0	9879.0	187.0	False		
@AValemarket	En ValeMarket ya estamos activos con nuestro Servicio Delivery en la Gran Caracas 🛵🚘Comunícate a través de nuestro WhatsApp 📲 y te llevamos tu compra a la puerta de tu casa 🤩!! Cumplimos con todas las normas de seguridad contra el Covid 19.  WhatsApp 0424.138.04.06 https://t.co/gcICzJbgEl	2020-08-06 00:49:47	es		0.0	0.0		Automercado ValeMarket	"Si deseas productos de calidad y buena atención ¡Visítanos!💚🛒🛍
🧀 Charcutería
🥩 Carnes
🍎 Frutas y Hort
🛒 Víveres
🕗 Horario: 10:00.a.m. a 7:00.p.m."	211.0	0.0	32.0	17.0	0.0	False		
@NDLenfent	"@Delociosisimo ""La culpa de qué Uribe tenga covid-19 es de Juan Manuel Santos""
@VickyDavilaH"	2020-08-06 00:49:43	es		0.0	0.0	@Delociosisimo	Alexander 🐦	estudiante de economía Universidad Nacional de Colombia. estudiante de ciencias políticas. escritor principiante, soñador de un país en paz y diferente.	15761.0	16883.0	243.0	175.0	0.0	False		
@RPPNoticias	¿Cómo saber si soy asintomático de COVID-19? https://t.co/otH8k7AxHp https://t.co/3NgXIHiuz0	2020-08-06 00:49:42	es		0.0	0.0		RPP Noticias	Noticias del Perú y el mundo actualizadas desde nuestra redacción minuto a minuto.	417995.0	8650.0	660.0	1835308.0	4774.0	False		
@Presidencia_VE	Comisión de Justicia y Paz de la AN exigió fe de vida y medida humanitaria para presos políticos ante Covid-19 https://t.co/fI9GOoNZDx	2020-08-06 00:49:41	es		0.0	0.0		Centro de Comunicación Nacional	Cuenta Oficial de la Presidencia (E) de la República Bolivariana de Venezuela 🇻🇪	19539.0	26.0	154.0	388507.0	693.0	True		
@carusso_angel	"@MarianaLestelle Mariana...puede ser simplemente influenza. A veces nos olvidamos de las patologías estacionales, y es cierto que el covid-19 relega a las demás enfermedades respiratorias. Yo me hice 2 hisopados negativos el mes pasado, por los ""falsos positivos"". Conclusión: TUVE GRIPE A. Besos."	2020-08-06 00:49:40	es		0.0	0.0	@MarianaLestelle	Miguel A.Carusso (H)	Profesional. Lector. Critico Calificado. Hincha de Boca.	1433.0	7609.0	654.0	176.0	0.0	False		
@UntSucreCna	Venezuela es el tercer país con peores condiciones para hacerle frente a la Covid-19, según la OPS, producto de la corrupción del régimen, que destruyó los servicios básicos del país. #EnfermeríaEnRiesgoPorCovid https://t.co/dPqibIUE6R	2020-08-06 00:49:40	es		0.0	0.0		Un Nuevo Tiempo Sucre Cumaná		1676.0	1419.0	677.0	389.0	1.0	False		
