Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@ElizabethKarim	Simios!!!!!! Wn vayan a sacarle partes a toda esa manga de irresponsables @GobiernodeChile #COVID19 #MuchoGustoMega https://t.co/HVwR2tfIIn	2020-08-17 14:21:40	es		0.0	0.0		Akrim	Piensa en toda la belleza que aún hay a tu alrededor y se feliz :) aunque cueste mas que la cresta!	5073.0	2208.0	721.0	269.0	3.0	False		
@unfernandezmas	#sintoniafina un querido colega y amigo acaba de postear que perdió a padre y madre por covid19 mientras él mismo lleva su internación por el virus que incluyó respirador artificial... una catástrofe familiar, de la que va a salir, pero esos casos muestran un límite de lo humano	2020-08-17 14:21:40	es		0.0	0.0		José Luis Fernández	"Mediatizaciones: Semiótica y Metodología. 
Análisis estilísticos. Plataformas mediáticas y vidas urbanas de lo musical.
Dirige la revista L. I. S."	56442.0	42463.0	2304.0	5075.0	123.0	False		
@ellieve	@OVCSocial Equipo de protección personal #EPP para médicos y personal sanitario. #COVID19 #Venezuela #pandemia #Agosto2020 #aguapotable para los hospitales. #DDHH	2020-08-17 14:21:37	es		0.0	0.0	@OVCSocial	ellie(E)		24763.0	4520.0	1553.0	726.0	11.0	False		
@caramayoarce	"#Bolivia: Crímenes de lesa humanidad serían legalizados por el Congreso, controlado por el movimiento al socialismo.
Asesinaron a más de 40 pacientes que luchaban contra el #covid19 y pretenden proteger a los autores materiales e intelectuales con una ley.
https://t.co/8NMY2JgNb6"	2020-08-17 14:21:36	es		0.0	0.0		Christian Andrés Aramayo Arce	Católico / Centro de Desarrollo Humano y Empleabilidad FCEAF - UAGRM/ @sdsnbolivia / Premio Joven Universitario 2015 / @sdsnYOUTH / RELIDD /  #SDG #ODS	10690.0	6423.0	3084.0	1580.0	40.0	False		
@SaludSV	"Es importante que todos continuemos practicando las medidas de prevención, que nos ayudan a evitar enfermarnos de #COVID19. 

Compartimos la actualización de datos en torno a la pandemia. https://t.co/lXFeeos9Lv"	2020-08-17 14:21:29	es		0.0	0.0		Ministerio de Salud	"Ministerio de Salud, Gobierno de El Salvador 🇸🇻

Ministro de Salud @franalabi"	39491.0	11749.0	478.0	360404.0	375.0	True		
@P_Mesoamerica	"#QuédateEnCasa

#NuevaNormalidad😷

#COVID19:
❤️ No discrimines
❤️ Sé amable y respetuoso con todas las personas a tu alrededor

#Gracias 🙏

@opsomsels https://t.co/7d3LjmAauo"	2020-08-17 14:21:25	es		0.0	0.0		Proyecto Mesoamérica	Mecanismo de integración y desarrollo para México, América Central, Colombia y Rep. Dominicana con proyectos para beneficio de sus 230 millones de habitantes.	4961.0	3880.0	923.0	3374.0	57.0	True		
@Elperiodiquito	#Venezuela 230 médicos cubanos arribaron al país para luchar contra el COVID-19 https://t.co/q9Hd5gYddp https://t.co/o1eOUw9dr3	2020-08-17 14:21:24	es		0.0	0.0		El Periodiquito	"Vive la noticia a través del diario líder del estado Aragua y la región central del país. 📰🗞️
Somos tendencia en el mundo informativo. 🤳"	1179438.0	273.0	1386.0	353114.0	1509.0	True		
@RadioSonora947	Comenzamos esta semana con un sumario de 25,706 casos confirmados de #COVID19 en Sonora y 2,443 muertes desde que se detectó el primer caso el 16 de marzo, @AaronAraiza91 nos comparte los detalles a través de https://t.co/fITA19QwPG https://t.co/OYc34R3vWm	2020-08-17 14:21:23	es		0.0	0.0		Radio Sonora	Radio Sonora, ''Voz de la cultura popular''	71021.0	4929.0	462.0	17462.0	81.0	False		
