Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@Edward_Caballon	"Si de otro asunto aparecemos en la Lista.

Embajador de República Dominicana ante el Reino Unido, Hugo Guiliani Cury, expresa preocupación, porque el país no está en la lista de VACUNA para #Covid19 que está desarrollando.

#CoronavirusRD. https://t.co/3axuutuFUX"	2020-08-06 12:25:32	es		0.0	1.0		Edward López	"Hombre de mucha fe en Dios.
de Montecristi, Manzanillo-Pepillo Salcedo R.D."	2584.0	985.0	5001.0	605.0	0.0	False		
@arielpagli	@davellaneda77 Ahora al vivito que abrio el local la multa y clausura que le metieron le va a salit mas caro que el chistesito de abrir una noche por gil....y los q fueron y no se cuidaron se llegan a infectar q no se les ocurra pedir atencion en un hospital  publico por covid19	2020-08-06 12:25:31	es		0.0	0.0	@davellaneda77	arel pagli		2496.0	477.0	49.0	21.0	0.0	False		
@DanielPastorive	"#Covid19: actualidad en #Varela
Les recordamos a nuestros vecinos que es sumamente importante continuar con las medidas sanitarias preventivas, para evitar la circulación y el contagio del Coronavirus.
Más en https://t.co/YXU3bhl8jb 
#CuidarteEsCuidarnos  https://t.co/BLOK7Exc5S"	2020-08-06 12:25:24	es		0.0	0.0		Daniel Pastorive		6423.0	823.0	124.0	106.0	1.0	False		
@sergioriveraa	"@izkia @Pajarobere @colmedchile  Me imagino que ya están analizando la escalada de casos Covid19 en Argentina pese a cuarenta estricta y total, con bajo testeo ¿que no era uno de los casos ejemplos a seguir?
https://t.co/lNXWGFVF5i
#covid19chile"	2020-08-06 12:25:10	es		0.0	0.0	@izkia	Sergio Rivera A	"Ing.en Informática, creativo, me gusta debatir ideas, soñar y concretar.
En campaña: #yoNOpaso"	21203.0	1842.0	876.0	803.0	14.0	False		
@carmenjoseoli	2. #FeyAlegríaAnteLaEmergencia Dimos respuesta a una realidad cambiante y retadora, le hicimos frente a la emergencia humanitaria compleja, agravada por el #COVID19, y sacamos lo mejor de nosotros.	2020-08-06 12:25:06	es		0.0	0.0	@carmenjoseoli	Linda Torres	Maparariense con vista a la sabana // fan #1 del mejor músico del mundo... MI PADRE // Lugar: el infinito y mas allá // no eres tu... soy yo	2327.0	199.0	420.0	226.0	2.0	False		
@AyuntBetanzos	"📍 O #DOG recolle a actualización do listado de #territorios con maior incidencia da #COVID19. 

Nestes casos, o rexistro será obrigado para os viaxeiros e viaxeiras que cheguen a #Galicia 🛫. 

Podedes acceder á relación completa na ligazón ⤵️

https://t.co/Rzepu7TrY9 https://t.co/e5wM0bnjT1"	2020-08-06 12:25:04	es		0.0	0.0		Concello de Betanzos	Twitter oficial do Concello de Betanzos	4903.0	131.0	3.0	2305.0	59.0	False		
@OIenAlicante	"Pese a la #Covid19 trabajamos para que las personas con menos recursos puedan  alimentar a sus familias y salir de la #pobreza. Defendemos el derecho al agua y la tierra. Impulsamos acciones para afrontar el #cambioclimático y promovemos el #comerciojusto.
https://t.co/N5lsmkRZoQ https://t.co/w4HhhhbTsd"	2020-08-06 12:25:03	es		0.0	0.0		Oxfam Intermón en Alicante	Somos el equipo de activistas y Tienda de @OxfamIntermon en Alicante. Trabajamos cada día para reducir las desigualdades sociales y económicas en el mundo.	95355.0	6805.0	491.0	1597.0	138.0	False		
@Vili_pl	"#COVID19 
Un sistema de salud colapsado y una economía familiar precaria, pero por encima de todo los comportamientos de riesgo influyen en el aumento de contagios y muertes por #Covid_19 en el país. 
Un triste realidad...
Y los políticos mirándose el ombligo! https://t.co/KecDvFOIaZ"	2020-08-06 12:25:02	es		0.0	0.0		Vili	Comunicadora Social | Apasionada por la salud pública | Mamá feliz | Social Marketer | Promoting behavior change | I love working in the Public Health | I'm Mom	3099.0	9210.0	1191.0	245.0	2.0	False		
