Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@lineadecontrast	"#municipios | ⛲️
🔍🧴🏪Inicia en #Yauhquemehcan campaña de verificación de protocolos sanitarios en negocios
Autoridades hacen el llamado a no relajar las medidas sanitarias de prevención contra el Covid 19 en negocios o empresas que prestan sus servicios.
https://t.co/mL8wfDrR2Y https://t.co/DLIuQwZWDY"	2020-08-13 16:06:34	es		0.0	0.0		lineadecontraste	Nace como una nueva alternativa periodística digital, cuyo único propósito será el de informar veraz, objetiva y profesionalmente sobre el acontecer diario	62735.0	571.0	1168.0	4077.0	32.0	False		
@AlfredoVilaboa	@rival_alicia el y cibriani,convocan para el 17 de agosto a una marcha por que según ellos el covid - 19 no existe,,el destino les pega en la cara	2020-08-13 16:06:32	es		0.0	0.0	@rival_alicia	alfredo salvador vilaboa	Argentino y Peronista,	4309.0	3684.0	716.0	301.0	1.0	False		
@SArtvALDIA	❗️ Significativo aumento de los nuevos casos de #COVID19 en España: 2.935 en las últimas 24 horas https://t.co/v87T5c9qm5	2020-08-13 16:06:32	es		0.0	0.0		SALAMANCArtv AL DÍA	Medio de comunicación de Salamanca y provincia.	147837.0	2540.0	524.0	24059.0	408.0	False		
@NoticiasVeApp	AstraZeneca espera empezar a producir vacuna Covid-19 para América Latina a principios 2021 https://t.co/zhAqPAZNKK	2020-08-13 16:06:32	es		0.0	0.0		Gunow - Noticias Venezuela	Noticias las 24 Horas de las mejores fuentes. Descarga nuestra App Gratis! https://t.co/ERr2i7RuAk	850512.0	136.0	131.0	5106.0	72.0	False		
@FESEGO_AL	Covid-19 en Centroamérica; voces desde la disidencia  https://t.co/JcuLcD16Be	2020-08-13 16:06:29	es		0.0	0.0		FESEGO, A.C.	Fundación para el Estudio de la Seguridad y Gobernanza, centro de pensamiento latinoamericano, construye colectivamente herramientas de #PrevenciónInteligente	10009.0	1844.0	398.0	363.0	5.0	False		
@QuesaVerdades	Los del PAN @AccionNacional cuando se pongan la vacuna contra el COVID-19 fabricada por el gobierno autoritario, comunista, socialista, hittleriano (según ellos) de nuestro presidente @lopezobrador_ 😂 https://t.co/TCJI3ocoCb	2020-08-13 16:06:29	es		0.0	0.0		Quesadilla de Verdades YouTube 🇲🇽	Youtuber de política #4T -YouTube: https://t.co/ybbF7riBaL -Facebook: https://t.co/Nwf5jFH8a0   -Instagram: Isaigrr22 - Twitter personal: @IsaiGRR	675.0	12207.0	479.0	79237.0	189.0	False		
@Driu_Paredes	Un homenaje al trabajo del equipo médico en la #PrimeraLinea enfrentando el #Covid_19 https://t.co/lsdK4xJ4yQ	2020-08-13 16:06:28	es		0.0	0.0		Andrea Paredes	Ilustradora en Animal MX y Animal Político	207.0	1257.0	340.0	162.0	4.0	False		
@IF_LevanteUD	🚨 Detectado un caso de Covid-19 tras los test PCR realizados. #LevanteUD #LaLiga https://t.co/JTukRLk8rU	2020-08-13 16:06:26	es		0.0	0.0		InformaFutbol Levante	Sigue en directo la actualidad del Levante Unión Deportiva. Para seguir más fútbol en @informafutbol__.	44.0	12.0	471.0	169.0	0.0	False		
@JavierLezaola	"Que el tabaco es malísimo y expande mucho el COVID-19, sí. En cambio, tener el tabique nasal como un queso gruyer no expande ninguna sustancia por ahí. Bueno, sí, sólo en el coche aquel de 'Airbag'.

Hasta de fumar nos van a quitar a los obreros, manda coj..."	2020-08-13 16:06:26	es		0.0	0.0		Javier Lezaola	Fai un sol de carallo	112529.0	96750.0	969.0	19987.0	205.0	False		
