Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@diarioelheraldo	"La pandemia del covid-19 ocasionó que el proceso de entrevistas con las autoridades de migración, que de por sí ya era bastante lento, se convirtiera en una pesadilla

#COVID19 #Frenemoslapropagación

https://t.co/wjPI4ekDkK"	2020-08-16 21:07:02	es		0.0	0.0		Diario El Heraldo	Noticias de Honduras	277827.0	395.0	761.0	371170.0	1392.0	False		
@AdrianLaRioja	"El Dato: Murió otro hombre de Covid19.

Muy joven, el virus ya no hace diferencia en la Rioja.

Pésame a su familia."	2020-08-16 21:06:57	es		0.0	0.0		Adrian Molina	Papá de Bauti y Lucy/Productor de Radio y Televisión//Periodista político social. Titular de https://t.co/olgTWChz0Z RIOJANO. Corresponsal Medios Nacionales	41361.0	6447.0	618.0	5156.0	16.0	False		
@HugoManero1	"Más Movimientos : 
▪️Cortamos al S Adrian Colbert ( era un secreto a voces desde ayer ) y al OT Nick Kaltmayer.
▪️Brandin Bryant sale de la Covid19 list 
#FinsUp 🐬 https://t.co/caqrDW1Wkl"	2020-08-16 21:06:52	es		0.0	0.0		Hugo Manero	Fins up Miami ! Miami Hurricanes The U ! Co-creador de @DolphinsMundo (Mundo Dolphins) . Miembro de @CoollegeFB y responsable de Miami en @TheSpanishBowl	4193.0	3821.0	1547.0	727.0	18.0	False		
@drpakarros	@YoYSolo22965211 Cuando pase un poco lo del Covid19 es ya 8 meses que no vuelvo 😭	2020-08-16 21:06:51	es		0.0	0.0	@YoYSolo22965211	drpakarros	"Intento salvar vidas.. pero no me dejan.
Valenciano en el destierro, intentando limpiar el ultrajado nombre de la paella Valenciana en tierras italianas."	27258.0	55162.0	377.0	346.0	2.0	False		
@seniorx_14	"La cant de gente en el p.Rivadavia o Palermo, paseando x ""el dia del niño"".De quien es responsabilidad? Estoy seguro de que sí los medios de comunicación mostrarían todos los días testimonios de los flias de fallecidos x #COVID19 y las guardias de los hosp, esto no pasaría."	2020-08-16 21:06:50	es		0.0	0.0		SeñorX		51.0	0.0	97.0	0.0	0.0	False		
@VenezuelaEnLib4	Jorge Rodríguez acaba de ser internado en el hospital militar de fuerte Tiuna debido a complicaciones por covid19 https://t.co/akMmomyr6K	2020-08-16 21:06:45	es		0.0	0.0		Venezuela En Libertad	Venezuela 🇻🇪: te quiero en paz, en progreso, en prosperidad y libre de la narco dictadura genocida que te ha oproviado por 21 años	43.0	61.0	108.0	64.0	0.0	False		
@Quijote_cuerdo	@JacoboRamosGr No aprendemos o no aprenden!!! ahora mucho negacionismo del #COVID19 pero cuando por asistir sin tomar precauciones ni medidas se vean o vean a algún familiar cercano con un respirador y casi llamando a las puertas del cielo vendrán las lamentaciones y las ¡Madres mías! 🤦‍♂️	2020-08-16 21:06:43	es		0.0	0.0	@JacoboRamosGr	🖤AℝES 🖤🇪🇸🅿️🅿️🇪🇸	"Historia que tú hiciste, historia por hacer porque nadie resiste tus ganas de vencer.
Ya salen las estrellas mi viejo Chamartín ....13🏆 #halamadrid♥️💛♥️"	89611.0	91281.0	5241.0	5106.0	7.0	False		
@DuelesMexico_	"Y qué hago con lo que me regalan...
- corto en piezas más pequeñas y quitó basura
- junto a composta anterior
- revuelvo
- coloco en costales, sin presionar
- cada semana saco y doy vuelta para airear

Alimento para las plantas. ✊🌱

#COVID19 #cuarentena
https://t.co/K1hhhM8pyH https://t.co/czIFuQGd0N"	2020-08-16 21:06:41	es		0.0	0.0	@DuelesMexico_	Alonso Oaxaca S.	"¡Justicia! porque son tus hijos. Esta cuenta no apoya a ningún partido político, no importa el color, ¡Que se larguen todos!
ULTRA.
Antes @DuelesMexico"	60772.0	25.0	440.0	583.0	2.0	False		
