Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@eljaverg	"@Claudiashein Es que no los atienden doctora 😷, por eso van a la baja, pero se han incrementado los muertos por covid19 en sus casas y en la calle.
Por cierto, el pinche cacas sigue sin taparse el hocico. Metalo a la cárcel pf.
Gracias"	2020-08-08 19:36:38	es		0.0	0.0	@Claudiashein	El-Javo Golpista ♥️🇲🇽	"TUITEO DE POLITICA Y ⚽; AZUL DE 💙, NO CREO EN MESIAS, EVOLUCIONAR O MORIR EN EL INTENTO, SOY DEL DIA DE MUERTOS
ESPOSO DE MARU, CORREDOR, FOTOGRAFO Y MELOMANO."	14563.0	6223.0	1034.0	1259.0	0.0	False		
@dcslosangeles	Informe diario comuna de Los Ángeles Covid-19. Correspondiente al 8 de agosto de 2020. Corte de la información: 21:00 horas del 7 de agosto. #InformeDiario, #Covid19, #APSLosÁngeles, #LosÁngelesCL https://t.co/6AilcC5cUs	2020-08-08 19:36:36	es		0.0	0.0		dcslosangeles	Twitter oficial de la Dirección Comunal de Salud de la Municipalidad de Los Ángeles.	1019.0	20.0	61.0	276.0	1.0	False		
@covidnewsCH	"#CoronaInfoCH #COVID19 #corona #canada 
Canada ad...
https://t.co/eyemzhGtA8"	2020-08-08 19:36:34	es		0.0	0.0		covidnews.ch	Coronavirus Statistics, Information & News	15879.0	150.0	1890.0	367.0	2.0	False		
@1tintico	"Y la vacuna contra el covid19 será: 🥁 🥁 🥁 🥁 🥁 🥁 🥁 🥁 🥁
El uso perpetuo de la mascarilla 👇🏽 https://t.co/uYu5zayZ9a"	2020-08-08 19:36:17	es		0.0	0.0		Un Tintico ❄️	Sigo preparándome hasta que la oportunidad y yo nos encontremos.	23416.0	17227.0	2382.0	1786.0	57.0	False		
@SandroG99773585	"#8Ago | Pacientes recuperados de covid19, que son dados de alta en los Hoteles Sanitarios de Caracas, reciben orientaciones sobre los protocolos sanitarios y prevención para cumplir en el hogar y la comunidad, y así no recaer en el contagio. #EnCaracasNosCuidamos 
@ErikaPSUV https://t.co/JdsvZZkSiK"	2020-08-08 19:36:16	es		0.0	0.0		San_Santi		13973.0	3143.0	208.0	179.0	0.0	False		
@PisayCorreTV	"#LoMásVisto | Escuelas públicas podrían colapsar tras el cierre de al menos 18 mil 142 escuelas privadas por la pandemia de #COVID19.

#SéFuerteMéxico #DePisaYCorreTV https://t.co/sP6LWwnh9W"	2020-08-08 19:36:13	es		0.0	0.0		De Pisa y Corre	No te pierdas #DePisaYCorreTV con @nacholozano de lunes a viernes a las 8 am por @ImagenTVMex	5561.0	3.0	36.0	53883.0	46.0	True		
@psn_si	"#Actualidad Una tradición italiana surgida en el XVII por la peste negra ha reaparecido en el país ante el brote de covid-19 que afecta el mundo. #Vino #COVID19

Lee aquí la nota: https://t.co/eJrGfORkFy"	2020-08-08 19:36:11	es		0.0	0.0		PSN.si	Primer Sistema de Noticias	60071.0	22.0	262.0	1584.0	17.0	False		
@pepecastrob	"Planes para el fin de semana?
Siempre con prudencia y sin olvidar las medidas #covid19 
#areaconvivenciaiseguretatlh #lhospitalet @nuriamarinlh https://t.co/HUQ73sf9HQ"	2020-08-08 19:36:07	es		0.0	0.0		Pepe Castro	Tinent d'Alcalde de l'Ajuntament de L'Hospitalet	1060.0	330.0	328.0	976.0	19.0	False		
@PisayCorreTV	"#LoMásVisto | Escuelas públicas podrían colapsar tras el cierre de al menos 18 mil 142 escuelas privadas por la pandemia de #COVID19.

#SéFuerteMéxico #DePisaYCorreTV https://t.co/G1AyKDgHaa"	2020-08-08 19:36:03	es		0.0	0.0		De Pisa y Corre	No te pierdas #DePisaYCorreTV con @nacholozano de lunes a viernes a las 8 am por @ImagenTVMex	5561.0	3.0	36.0	53883.0	46.0	True		
@CAICOCC	@CAICOCC SENSIBILIDAD SOCIAL #Cabimas ##covıd19 #salud #ayuda https://t.co/dAhUdzpE3x	2020-08-08 19:36:00	es		0.0	0.0	@CAICOCC	CAICOCCABIMAS	Camara de Industria y Comercio de Cabimas CAICOC.	1207.0	210.0	1126.0	701.0	9.0	False		
@BCurito1	A cuidarnos contra la COVID19 https://t.co/GlFt7dj7MB	2020-08-08 19:35:59	es		0.0	0.0		BPDICurito1	Base Popular de Defensa Integral parroquia La Luz, municipio Obispos, APDI La Luz	25.0	16.0	10.0	0.0	0.0	False		
@Gacetinmadrid	"Madrid notifica este sábado un nuevo rebrote de COVID-19 con 7 casos positivos y 14 contactos

#Madrid #Salud #Rebrotes #CoronavirusMadrid #COVID19 https://t.co/Q8sgrzncQM"	2020-08-08 19:35:55	es		2.0	1.0		Gacetín Madrid	Diario digital más leído en la ciudad de Madrid y sus 21 distritos | Recibe las noticias por Telegram y WhatsApp: https://t.co/WSZiv4fcVf | contacto@gacetinmadrid	51438.0	81121.0	7922.0	14190.0	220.0	False		
@Vaneyeca_	No cambia ni cambiará la Derecha ya demostró que ni pandemia ni pandemiota les hará ver la vida distinta q se muera el pueblo que se muera el humilde que el Covid19 les haga el favor de salir de quién le estorba Brasil , EEUU, Colombia , Ecuador , Bolivia , Chile qué asco dan 🤨	2020-08-08 19:35:37	es		1.0	1.0		🌹PADRE ETERNO 🌹JUDITH ♥️ CHAVEZ TE EXTRAÑO ♥️😭	🌹@chavezcandanga  Mi madre necesita ser operada de catarata está casi ciega ayudenla por favor @NivolasMaduro @dcabellor @rafaellacava10 salven a mi mamá sufre	6533.0	2899.0	2875.0	2317.0	0.0	False		
