Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@OmarBazanChih	Pruebas COVID-19 debieron aplicarse desde marzo; es una criminal negligencia: Omar Bazán – ÉxodoJuárez https://t.co/v0GkHH3yuU	2020-07-13 15:08:23	es		0.0	0.0		Omar Bazán Flores	Orgulloso de mi tierra, Chihuahua, de su gente y de mi partido. Actualmente soy Presidente de @ChihuahuaPRI #SomosPRI diputado local	28477.0	11313.0	4997.0	2360.0	10.0	False		
@diarioojo	"“El karma existe”: John Kelvin lanza misil a Magaly Medina tras contagio de COVID-19
https://t.co/tCSmlF4fVf"	2020-07-13 15:08:22	es		0.0	0.0		Diario Ojo	Ojo te mantiene informado con las noticias policiales y del espectáculo 😉	152461.0	55.0	487.0	350343.0	1056.0	False		
@golivares6	NOSOTROS SOMOS LA BARRERA AL COVID-19 A EXTREMAR LAS MEDIDAS DE LIMPIEZA Y DESINFECCIÓN, CUIDEMOS A NUESTROS PADRE , ABUELOS QUE GRACIAS A ELLOS , HEMOS LLEGADO A DONDE ESTAMOS. @TReporta https://t.co/rDfV1dIYMj	2020-07-13 15:08:21	es		0.0	0.0		gustavo olivares	Comunicador social	2994.0	1368.0	640.0	389.0	2.0	False		
@nuriapiera	Aumento de 2.1% en los casos de COVID-19 en el país. Boletín 116 #Ndigital #covid19RD https://t.co/Z8jTuLrMle	2020-07-13 15:08:20	es		0.0	0.0		Nuria Piera	Directora de N Digital Multimedios y del programa de tv Nuria, Investigación Periodística canal 9 y 37.	37010.0	2218.0	434.0	1201758.0	2120.0	True		
@misarriaga	#Coronavirus 4 detenidos en calabozos del CICPC dieron positivo en pruebas de Covid 19. Vía @AlbertoRodNews https://t.co/ubUh4HsGaA	2020-07-13 15:08:19	es		0.0	0.0		María I Arriaga	Periodista, estuve durante casi 29 años en RCTV.	36627.0	26.0	722.0	6843.0	71.0	False		
@monkydavalos	@Hugobie El presidente de España,Pedro Sánchez,convoca de urgencia al Comité de Seguimiento del Covid-19.Los últimos datos proporcionados por el Ministerio de Salud local,apuntan a un repunte en los contagios diarios.	2020-07-13 15:08:18	es		0.0	0.0	@Hugobie	monica zalazar	periodista, me gusta tener amigos y también los deportes	18341.0	1462.0	525.0	459.0	3.0	False		
@isnalypacheco	"🗣️ ¡𝐂𝐎𝐍𝐓𝐈𝐆𝐎 ! ✍️🇻🇪
Cumplir las normas de bioseguridad establecidas para evitar la propagación y el contagio del virus COVID-19. La clave del combate contra el Coronavirus es la prevención y, la prevención comienza con la conciencia. #TiempoDeElegir https://t.co/x7dJbDcc44"	2020-07-13 15:08:17	es	VE	0.0	0.0		★isnaly pacheco ☭	"CHAVISTA🔴.
ANTIIMPERIALISTA ☭ .
LUCUMÍ🧙🏿‍♀️.
SALSERA💃🏿.
Licenciada en Administración
Contadora Pública."	213650.0	11403.0	870.0	2296.0	13.0	False		
@TodosAhora_Ve	"#VENEZUELA | Guanipa: Los reportes que estamos recibiendo (sobre la COVID-19), nada tiene que ver con los que informa la dictadura. Indudablemente hay muchos más casos y fallecidos de los que reportan. 

Por: @Abrahamdmedina 

Video cortesía. 

https://t.co/lMsVAhKwdp https://t.co/Ei29CuGdrL"	2020-07-13 15:08:15	es		0.0	0.0		Todos Ahora VE	Creemos, investigamos e informamos	16901.0	424.0	301.0	6720.0	3.0	False		
