Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@PedroSP74	@AristeguiOnline Así como se anunció el apoyo de USA a Mexico para el combate del COVID-19: por algunos millones de dólares porque ahí no decimos nada?, así deberíamos de quejarnos por los crímenes que ocurrieron el los narco gobiernos o el desfalco, pero se nos olvida verdad?.	2020-08-09 18:56:58	es		0.0	0.0	@AristeguiOnline	PedroSP		3025.0	100.0	50.0	10.0	0.0	False		
@ExpresSanLuis	#SLP No ′tronará′ el censo 2020 por el coronavirus | Sin embargo, tendrá datos solo hasta marzo de este año, sin incluir decesos por Covid-19. “No tendrá sesgos graves”, señaló el experto. https://t.co/JfndjeyTy0 https://t.co/ZtmEM5cUQi	2020-08-09 18:56:56	es		0.0	0.0		Semanario Exprés	Noticias de política, negocios, espectáculos, salud y tecnología.	141598.0	110.0	260.0	15705.0	154.0	False		
@lineadecontrast	"Mil 800 tlaxcaltecas han recibido tratamiento TNR4: SESA
😷📊🧑🏽‍⚕️Ha mostrado ser una gran alternativa para la recuperación de pacientes con #Covid-19, al prevenir complicaciones y disminuir la letalidad
https://t.co/NioX7CkCmn
@GobTlaxcala  #Tlaxcala https://t.co/WbEBV6mZJs"	2020-08-09 18:56:54	es		0.0	0.0		lineadecontraste	Nace como una nueva alternativa periodística digital, cuyo único propósito será el de informar veraz, objetiva y profesionalmente sobre el acontecer diario	62615.0	563.0	1168.0	4074.0	32.0	False		
@ultimahsv	"#Nacionales | Gobierno realiza pruebas de COVID-19 este día en Zacatecoluca

Nota completa: https://t.co/4g3Qofwpv7 https://t.co/MLDQ2HeILg"	2020-08-09 18:56:53	es		0.0	0.0		Última Hora	Periódico Digital. Información para los que no se detienen	78227.0	301.0	1320.0	234837.0	186.0	False		
@ivanzuco	"— ¿Y es tóxica?
— Me hacia la comida sin sal pa’ que yo creyera que tenía covid 19 y no saliera de la casa."	2020-08-09 18:56:50	es		0.0	0.0		Rajesh		42707.0	3228.0	1521.0	628.0	11.0	False		
@estradaavz	"Este año, cuando la muerte se ha hecho presente de manera indiscriminada, he pensado en lo que hay detrás de esas vidas esfumadas: soñaban, tenían planes, etc. 
No somos números, no son solo 52 mil muertes por COVID-19.

Les dejo mi columna de hoy. 👇🏼

https://t.co/37RBWDd8gq https://t.co/HHeaS4NFKB"	2020-08-09 18:56:50	es		0.0	0.0		Ángel	Nacido en Berriozábal, Chiapas, pero perdido entre las chinampas. 🌾 | Política y Gestión Social. UAM-X | Colaboro en @revistacolumnas ✍🏽 | 21	8165.0	35985.0	648.0	883.0	1.0	False		
@vimefa	Identifican proteína que podría ser responsable de la gravedad de la COVID-19 https://t.co/3PnQrYzYTI vía @larepublica_pe	2020-08-09 18:56:50	es	PE	0.0	0.0		Victor Meza		81244.0	29381.0	1251.0	576.0	20.0	False		
@SoyJhonPedraza	@MackyArenas Respetada y admirada señora @MackyArenas quiero tomarme la atribución de hacerle una pequeña corrección. Quería hacerlo por un DM pero no es posible. Hay 2 formas correctas de escribir el nombre del coronavirus: COVID-19 o covid-19 (Covid-19 es incorrecto). Esto según la OMS.	2020-08-09 18:56:48	es		0.0	0.0	@MackyArenas	Jhon Pedraza Rodríguez	Merideño-Vigiense, Budista Níchiren, Lic. en Comunicación Social, Coordinador de prensa de @NoticiasCanali  #Nmrk	6354.0	7172.0	490.0	445.0	5.0	False		
