Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@laveganewsrd	El exministro Díaz Rúa se encuentra en cuidados intensivos por COVID-19 https://t.co/wfyhdkNpBQ	2020-07-15 13:50:39	es		0.0	0.0		La Vega News	La Vega News es el gran periódico de La Vega, Ciudad Culta, Olímpica y Carnavalesca.	911.0	2.0	8.0	20.0	0.0	False		
@EFE_Canarias	El Gobierno dice que Canarias está preparada para un rebrote de la pandemia de covid-19 https://t.co/TjYCRAaODS	2020-07-15 13:50:39	es		0.0	0.0		EFE Canarias	Cuenta de la Agencia EFE en Canarias	14984.0	466.0	69.0	7000.0	147.0	False		
@Vazpilcue	Lima, con más casos de Covid-19,  Reniec ya atiende gestiones presenciales.En provincias como Cusco y otras, no es posible aún tal servicio. Hay miles de profesionales que requieren renovar contratos de certificaciones digitales, firmas digitales y recuperar PIN de DNIe.NADA AUN.	2020-07-15 13:50:38	es		0.0	0.0		Víctor Azpilcueta	Abogado especialista: Derecho civil, derecho empresarial, financiero, Indecopi, procesos concursales, defensa judicial de clientes bancarios y gerencia social.	66.0	0.0	47.0	15.0	0.0	False		
@JustaCretina	Acaso el COVID-19 es una enfermedad d chetos? Xq Luis D'elia está internado en la Otamendi, Recoleta! Luisito sos todo un NEO oligarKa! https://t.co/NamN7mQJey	2020-07-15 13:50:37	es		0.0	0.0		#CachorraDeLeche	Anti K x naturaleza! Justicia x ONCE. Bloqueadora serial. Repudio la censura y a los zurdos violentos! Amo mi República Argentina! Eugenia, madre y diseñadora!	45012.0	16632.0	49.0	2382.0	18.0	False		
@cjuanpavon	"""Vacuna contra la COVID-19 creada en EE.UU. muestra resultados prometedores""  https://t.co/0qZ3c4TMR1"	2020-07-15 13:50:37	es		0.0	0.0		El Compa Charly	México, un país hermoso y rico, secuestrado por una mafia de cuello blanco, con la complicidad y pasividad de la mayoría del pueblo	25991.0	57003.0	1310.0	788.0	12.0	False		
@conamigua1	Con el apoyo del Consejo Nacional del CONAMIGUA logramos apoyar y dignificar a los migrantes retornados durante la emergencia del COVID-19, ejecutando un 90% de los recursos asignados. Acciones coordinadas por la Secretaria @rimelizo https://t.co/zCKGMWbjsX	2020-07-15 13:50:35	es		0.0	0.0		CONAMIGUA	Consejo Nacional de Atención al Migrante de Guatemala. Dirección: 14 Calle 3-51 zona 10 Edificio Murano Center, Oficina 1001, nivel 10. PBX 22995600	563.0	87.0	244.0	439.0	0.0	False		
@hebertelrojo	BBC News Mundo - Coronavirus en Mongolia: el país pegado a China con cero muertes por covid-19 y cero contagios locales https://t.co/g7Jn4Groe2	2020-07-15 13:50:30	es		0.0	0.0		Hebert Alonso	Esposo y Padre; amante de la buena comida; apasionado  por la tecnología e innovación. Ingeniero Electrónico c/ Especialidad en Telecomunicaciones y Negocios	68.0	3.0	99.0	6.0	0.0	False		
@csr_costa	.@rhidalgott le aclara al ministro @DrJuanCZevallos que no existe el término médico “lista de espera” para pacientes de Covid-19 que necesitan ser atendidos urgentemente en las UCI. https://t.co/T8O0D3nTnz	2020-07-15 13:50:28	es		0.0	0.0		césar costa	#BlackLivesMatter	6189.0	11474.0	450.0	864.0	3.0	False		
@HowNews_	Empresa indiana inicia testes em humanos de potencial vacina contra a Covid-19 https://t.co/pRWSSmMSTQ	2020-07-15 13:50:27	es		0.0	0.0		How News	Conta Oficial Twitter  @HowNews_ Siga os últimos fatos da política, economia e internacional Breaking news, análises.	15153.0	14155.0	8.0	197.0	2.0	False		
