Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@lalohdeza	"Que paradójico, el Gobierno con un programa ""sembrando vidas"" lo que mas siembra... son MUERTOS por TODO el País 
¡¡PLOP!! 

#ViolenciaDelTerror 
#COVID__19"	2020-07-16 18:14:30	es		0.0	0.0		Lalo Hernández	#GuerreroMeEnamora	120496.0	6012.0	3337.0	3274.0	47.0	False		
@cancino_jorge	Se disparan casos de covid-19 en una cárcel de ICE en Virginia y ya son casi 3,500 los infectados a nivel nacional. https://t.co/kANMLNWzhY	2020-07-16 18:14:28	es		0.0	0.0		Jorge Cancino	Premio de Periodismo Rey de España categoría digital 2015, un premio Emmy y medalla de Plata de los Premios NH.	3905.0	9.0	170.0	2258.0	42.0	True		
@PoderPoliticoMx	#AlMomento | El gobernador  de Quintana Roo @CarlosJoaquin informó que dio positivo a la prueba de covid-19 https://t.co/0vgOJeLyvF	2020-07-16 18:14:27	es		0.0	0.0		Poder Político	Periódico de información local, nacional e internacional fundado el 15 de Febrero de 1975.	10966.0	1100.0	951.0	2795.0	4.0	False		
@epmpsuvsucre	"Junto al alcalde @lossifontes agradecemos y reconocemos el trabajo de las brigadas de médicos cubanos, todo nuestro apoyo 
#VenezuelaEnBatallaVictoriosa frente al Covid-19
@PartidoPSUV @NicolasMaduro @dcabellor @taniapsuv @EdwinRojasM @jorgeronz @FermariOrtega @YoAmo_Cumana https://t.co/0erYquCtfh"	2020-07-16 18:14:26	es		0.0	0.0		Sec.EpmSucrePsuv	Secretaria Ejecutiva del Equipo Político Municipal del Municipio Sucre, estado Sucre	4110.0	784.0	307.0	464.0	0.0	False		
@CHTVHN	Extienden suspensiones laborales por emergencia del COVID-19-https://t.co/Mxc8CticMU https://t.co/qAL8htyKA4	2020-07-16 18:14:25	es		0.0	0.0		chtvhn		32389.0	206.0	1636.0	1699.0	8.0	False		
@avilesenrique	Otro gobernador que da positivo  a #COVID__19 asegura que se siente bien, sin embargo mantendrá distancia. ⁦@GobQuintanaRoo⁩ ⁦@CPTQROO⁩ https://t.co/nle2bS1nac	2020-07-16 18:14:22	es		0.0	0.0		Enrique Avilés	La comunicación es mi pasión 30 años de trayectoria desde ambos lados del escritorio	16266.0	10080.0	4036.0	14709.0	45.0	True		
@Milenio	#ElManubrio | El covid-19 ha provocado dos fenómenos simultáneos: el éxito en las ciclovías emergentes y el darle la puntilla al transporte público; 🎙 lee y escucha la columna de @hzamarron https://t.co/euRgGIL0dt https://t.co/5P0CNZmbDS	2020-07-16 18:14:20	es		0.0	0.0		Milenio	Toda la información que necesitas para el día a día. Hacemos #PeriodismoConCarácter	894564.0	11.0	0.0	4678305.0	15525.0	True		
@AlertaQro	"#Covid19
De acuerdo con la directora de Servicios de Salud, la variación es por la notificación que realiza cada una de las instituciones.
https://t.co/eehQtg2VDr"	2020-07-16 18:14:20	es		0.0	0.0		AlertaQro Noticias	Noticias desde Querétaro para el mundo. ¡Informar para transformar!	25041.0	173.0	428.0	5845.0	32.0	False		
@calientesdelsur	Cuba mantiene tendencia a la baja en contagios con solo 2 casos de COVID-19 - https://t.co/1CU5nU5KSQ https://t.co/bH2y4qz2Fk	2020-07-16 18:14:19	es		0.0	0.0		Calientes del Sur	http://t.co/3P0GDIHgsw es el #periódico digital más completo de San Juan y del Sur.	99376.0	16.0	4901.0	4291.0	8.0	False		
